id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
3180,I,1.0,0.775,0.225,8.09378225,3.21766825,1.77184375,2.324659,6.0
3181,I,1.375,1.0625,0.3125,19.17843675,9.08601475,3.9405805,5.953395,8.0
3182,M,1.375,1.0625,0.3875,24.7491135,9.7805775,5.7549485,9.2135875,13.0
3183,I,1.1875,0.9,0.3125,14.81261375,6.4920355,2.90582375,3.855532,6.0
3184,F,1.475,1.1125,0.4,28.76056775,11.43902325,6.180191,7.37087,10.0
3185,I,1.0,0.7875,0.275,9.808927,4.309124,1.60174675,2.6932025,12.0
3186,F,1.425,1.125,0.4,28.91649,12.47378,5.1879585,8.3631025,10.0
3187,M,1.3,1.0,0.3,22.5945515,9.87980075,4.86193925,6.23689,9.0
3188,I,1.4375,1.1125,0.375,23.94115275,13.05494475,5.2446575,6.520385,10.0
3189,I,0.825,0.6625,0.225,5.42892925,2.19708625,1.1056305,1.70097,6.0
3190,M,1.2375,0.9625,0.3625,16.42853525,6.293589,3.52951275,4.9611625,10.0
3191,I,0.95,0.675,0.225,7.58349125,3.01922175,1.65844575,2.16873675,7.0
3192,M,1.3,1.025,0.3625,22.792998,7.49844275,5.62737575,6.23689,10.0
3193,M,0.675,0.4875,0.2,2.96252275,1.17650425,0.680388,0.850485,5.0
3194,M,1.3625,1.0625,0.35,23.6718325,8.60407325,5.8683465,6.6621325,10.0
3195,I,0.925,0.6875,0.2125,6.81805475,2.84912475,1.65844575,1.984465,7.0
3196,I,0.8375,0.65,0.225,6.10931725,2.70737725,1.03475675,1.5592225,6.0
3197,F,1.4125,1.1125,0.4125,25.92561775,12.3887315,5.10291,6.80388,9.0
3198,F,1.625,1.2125,0.4,44.9906565,19.391058,7.98038425,9.525432,10.0
3199,M,1.45,1.175,0.3875,28.76056775,10.4609655,5.8683465,8.788345,11.0
3200,I,1.0125,0.7625,0.225,9.19941275,4.63514325,1.7293195,2.6932025,7.0
3201,F,1.5375,1.1875,0.4,29.993771,13.93377925,6.350288,8.50485,10.0
3202,I,1.1625,0.8875,0.3,14.92601175,6.066793,3.2601925,3.96893,7.0
3203,I,0.8375,0.625,0.225,5.10291,2.4097075,1.1056305,1.5592225,6.0
3204,I,1.2125,0.9625,0.3125,15.2236815,6.76135575,2.9199985,4.252425,8.0
3205,I,0.8875,0.6625,0.25,7.2858215,2.65067825,1.587572,2.4097075,8.0
3206,F,1.5125,1.225,0.425,27.385617,11.15552825,6.6054335,8.0796075,12.0
3207,M,1.2875,1.0375,0.3375,22.29688175,9.87980075,5.6699,5.953395,13.0
3208,I,0.725,0.525,0.15,2.83495,1.09145575,0.55281525,0.850485,5.0
3209,F,1.45,1.1375,0.4,30.900955,10.035723,6.13766675,10.20582,15.0
3210,I,0.4375,0.325,0.1,0.89300925,0.29766975,0.18427175,0.35436875,4.0
3211,I,0.9625,0.7,0.275,7.72523875,2.90582375,1.74349425,2.4097075,8.0
3212,I,0.8875,0.65,0.2125,5.40057975,2.19708625,1.51669825,1.984465,6.0
3213,I,0.4875,0.3625,0.1,1.06310625,0.2551455,0.226796,0.1984465,4.0
3214,I,0.8375,0.575,0.2,4.6209685,1.91359125,1.020582,1.417475,6.0
3215,F,1.1875,0.9375,0.3375,15.35125425,7.66853975,3.7704835,4.3941725,8.0
3216,I,1.25,0.9375,0.325,17.36406875,7.5693165,3.8271825,6.23689,9.0
3217,M,1.4,1.15,0.4,26.1098895,11.35397475,5.74077375,8.15048125,11.0
3218,F,1.6625,1.3,0.5125,49.32813,19.94387325,10.21999475,12.757275,11.0
3219,F,1.5,1.1625,0.375,31.6096925,14.81261375,6.690482,8.77417025,8.0
3220,M,1.3125,1.0,0.4125,25.2027055,12.1619355,5.1312595,5.953395,9.0
3221,M,1.375,1.0625,0.4125,22.4244545,8.901743,4.706017,7.7961125,15.0
3222,F,1.025,0.8,0.2875,8.618248,3.6570855,2.08368825,3.40194,10.0
3223,I,0.5125,0.375,0.1375,1.45999925,0.56699,0.35436875,0.3118445,4.0
3224,I,1.075,0.825,0.2875,10.41844125,4.5075705,2.33883375,3.40194,8.0
3225,F,1.475,1.125,0.4,31.19862475,11.4248485,6.08096775,9.922325,18.0
3226,M,1.3,1.0125,0.4,25.13183175,10.546014,6.25106475,6.0951425,12.0
3227,M,1.5625,1.2125,0.425,40.44056175,19.7029025,6.350288,10.20582,12.0
3228,I,1.25,0.9375,0.325,17.36406875,7.0590255,4.252425,5.953395,10.0
3229,M,1.725,1.3125,0.525,42.807745,20.82270775,9.99319875,14.17475,11.0
3230,I,0.925,0.7,0.2375,6.2652395,3.061746,1.77184375,1.984465,6.0
3231,I,0.525,0.375,0.1625,1.82854275,0.60951425,0.3685435,0.56699,6.0
3232,F,1.4375,1.1625,0.4125,25.117657,9.51125725,5.93922025,8.3631025,13.0
3233,F,1.425,1.1625,0.3625,24.777463,10.53183925,5.8683465,6.23689,13.0
3234,I,0.5875,0.4,0.1375,1.54504775,0.75126175,0.226796,0.56699,8.0
3235,M,1.525,1.175,0.3125,29.1149365,13.59358525,6.42116175,8.3631025,11.0
3236,F,1.2,0.925,0.3125,16.726205,7.824462,5.03203625,4.3941725,7.0
3237,I,0.95,0.675,0.225,6.08096775,3.005047,1.37495075,1.984465,6.0
3238,F,1.725,1.375,0.4875,44.2535695,19.5328055,9.525432,11.7650425,12.0
3239,M,1.45,1.15,0.3625,24.1821235,10.77281,5.0745605,7.52679225,9.0
3240,F,1.4375,1.1375,0.3625,26.12406425,10.56018875,5.4714535,8.50485,9.0
3241,F,0.8375,0.6375,0.1875,5.5848515,2.324659,1.26155275,1.70097,7.0
3242,M,1.425,1.125,0.4,26.988724,12.94154675,5.68407475,6.0951425,8.0
3243,F,1.5,1.1625,0.375,25.51455,10.47514025,5.896696,7.654365,11.0
3244,F,1.7,1.4125,0.5125,45.88366575,16.20173925,11.58077075,20.128145,19.0
3245,I,0.7,0.5375,0.1625,3.81300775,1.60174675,0.9922325,0.9355335,7.0
3246,F,1.6,1.2625,0.4,47.18774275,20.695135,10.602713,11.623295,10.0
3247,I,0.7,0.525,0.0,2.96252275,1.17650425,0.623689,0.9922325,4.0
3248,F,1.675,1.2875,0.475,37.1094955,14.288148,8.1363065,11.3681495,12.0
3249,I,1.0,0.75,0.225,8.107957,3.3735905,1.63009625,2.1262125,7.0
3250,M,1.575,1.2125,0.4125,34.06192425,16.82542825,8.3064035,8.50485,9.0
3251,F,1.6375,1.25,0.4125,33.849303,13.87708025,8.674947,10.489315,12.0
3252,I,1.0875,0.8375,0.275,10.886208,4.6776675,2.11203775,3.5436875,8.0
3253,F,1.7125,1.325,0.45,43.2896865,18.0586315,9.525432,12.3320325,11.0
3254,M,1.075,0.875,0.2875,11.94931425,4.9611625,2.8066005,3.8271825,10.0
3255,I,0.725,0.525,0.15,2.8632995,1.17650425,0.623689,0.94970825,6.0
3256,M,1.2625,0.9375,0.35,22.80717275,10.262519,4.49339575,4.819415,10.0
3257,M,1.6125,1.225,0.375,32.88327175,14.52911875,6.4920355,9.4970825,11.0
3258,M,1.85,1.425,0.45,47.740558,21.8007655,10.035723,12.190285,10.0
3259,I,1.125,0.825,0.275,13.154168,6.2085405,2.324659,3.21766825,8.0
3260,M,1.3625,1.025,0.4125,21.999212,8.77417025,4.77689075,7.72523875,10.0
3261,M,1.55,1.15,0.3875,26.1665885,7.72523875,5.386405,7.37087,16.0
3262,F,1.625,1.3375,0.4625,41.39027,16.726205,8.85921875,11.7650425,15.0
3263,F,1.5625,1.2375,0.425,32.034935,13.99047825,7.257472,9.7805775,13.0
3264,F,1.5,1.2125,0.4,29.313383,12.3887315,8.37727725,7.93786,10.0
3265,I,0.5125,0.425,0.1125,1.13398,0.4819415,0.26932025,0.340194,4.0
3266,I,0.725,0.525,0.1875,3.35941575,1.587572,0.80796075,1.13398,6.0
3267,I,1.2875,0.975,0.325,16.37183625,7.7394135,3.64291075,4.1106775,9.0
3268,F,1.525,1.1875,0.4125,31.0994015,16.68368075,6.22271525,7.654365,10.0
3269,I,0.65,0.5,0.125,2.381358,0.97805775,0.60951425,0.850485,5.0
3270,F,1.5875,1.2625,0.3625,30.03629525,14.2597985,7.41339425,8.3631025,11.0
3271,I,0.8625,0.6375,0.1875,5.7549485,2.211261,1.6726205,1.5592225,9.0
3272,F,1.3125,1.0375,0.375,24.720764,8.15048125,5.71242425,7.93786,10.0
3273,I,0.8375,0.625,0.2375,6.27941425,2.67902775,1.077281,1.984465,7.0
3274,I,0.8125,0.6,0.2,3.96893,1.60174675,0.75126175,1.20485375,5.0
3275,F,1.55,1.2125,0.4125,33.40988575,16.51358375,6.36446275,8.6465975,9.0
3276,F,1.075,0.8,0.2875,10.41844125,4.43669675,2.84912475,3.40194,9.0
3277,F,1.125,0.8375,0.3,7.6260155,3.50116325,1.8994165,3.118445,10.0
3278,M,1.45,1.15,0.3875,28.02348075,13.04077,5.54232725,8.3631025,11.0
3279,M,1.475,1.15,0.4125,25.0893075,11.736693,5.8116475,7.2291225,10.0
3280,F,1.6375,1.275,0.525,36.7693015,17.4916415,8.4198015,9.19941275,10.0
3281,F,1.8375,1.425,0.6,62.652395,30.34813975,11.5382465,21.54562,23.0
3282,M,1.1375,0.925,0.325,14.81261375,6.293589,3.61456125,4.53592,9.0
3283,M,1.35,1.025,0.3375,18.29960225,8.2497045,4.139027,5.0178615,10.0
3284,F,1.5375,1.2,0.3875,35.25260325,17.61921425,8.561549,9.355335,10.0
3285,F,1.4375,1.1,0.3875,21.95668775,8.63242275,4.01145425,7.37087,12.0
3286,I,1.3,1.0,0.3125,17.4916415,7.98038425,3.9405805,4.52174525,9.0
3287,F,1.3625,1.075,0.3375,23.20406575,10.41844125,4.7910655,6.3786375,10.0
3288,I,0.9375,0.7125,0.225,5.556502,2.45223175,1.65844575,2.1262125,7.0
3289,M,0.8375,0.6125,0.225,5.42892925,2.11203775,1.077281,1.8427175,9.0
3290,I,1.1375,0.875,0.275,14.004653,6.30776375,2.381358,3.8271825,8.0
3291,I,1.05,0.7875,0.25,9.02931575,4.06815325,2.22543575,2.664853,7.0
3292,M,1.2125,0.9125,0.325,16.51358375,6.066793,3.61456125,4.706017,12.0
3293,M,1.4375,1.125,0.3875,24.84833675,12.8990225,5.93922025,6.3786375,10.0
3294,M,1.6125,1.3,0.475,37.32211675,15.705623,7.52679225,11.623295,11.0
3295,M,1.4375,1.1,0.3125,24.437269,11.4248485,4.86193925,7.04485075,9.0
3296,F,1.1,0.85,0.35,12.7856245,4.86193925,2.3530085,3.685435,9.0
3297,I,1.5,1.1625,0.4,28.76056775,12.8423235,6.350288,8.6465975,11.0
3298,F,1.5125,1.2125,0.3875,34.5013415,12.82814875,6.78970525,11.90679,21.0
3299,M,1.325,1.0125,0.35,21.0069795,9.17106325,4.49339575,5.8116475,9.0
3300,I,1.2875,0.975,0.3125,18.6823205,8.12213175,4.12485225,4.3941725,9.0
3301,F,1.525,1.1875,0.375,31.2694985,14.92601175,6.64795775,8.3631025,10.0
3302,M,1.4125,1.125,0.375,25.7129965,12.26115875,4.57844425,6.6621325,8.0
3303,M,1.5875,1.175,0.3875,31.978236,13.2959155,6.13766675,10.0640725,12.0
3304,M,1.5,1.2,0.375,32.6302745,10.81533425,6.87475375,10.489315,12.0
3305,M,1.5,1.225,0.375,33.26813825,14.911837,7.257472,8.0796075,10.0
3306,F,1.375,1.1,0.4,25.98231675,10.41844125,5.6982495,7.654365,12.0
3307,I,0.9875,0.75,0.2,7.55514175,3.35941575,1.7293195,2.26796,7.0
3308,F,1.5625,1.275,0.4875,37.32211675,13.96212875,7.01650125,13.324265,16.0
3309,F,1.6125,1.275,0.4,34.74231225,14.04717725,8.7599955,9.355335,10.0
3310,I,0.8,0.6,0.1875,4.6209685,2.11203775,0.9922325,1.530873,6.0
3311,I,1.25,0.95,0.3125,16.8112535,7.087375,3.8838815,5.10291,8.0
3312,F,1.65,1.275,0.3875,35.59279725,14.7133905,9.9506745,9.7805775,13.0
3313,M,1.55,1.1875,0.3875,30.8159065,15.989118,6.30776375,7.5126175,9.0
3314,M,1.2375,1.0,0.35,17.8885345,8.29222875,3.98310475,4.60679375,9.0
3315,M,1.6,1.2625,0.4875,38.8104655,18.5122235,7.427569,10.489315,11.0
3316,I,0.7375,0.5375,0.2,3.86970675,1.63009625,0.80796075,1.1623295,5.0
3317,I,1.0875,0.825,0.2625,10.7444605,4.60679375,2.608154,2.9766975,7.0
3318,F,1.45,1.1625,0.375,26.535132,15.06775925,5.9250455,6.6621325,8.0
3319,I,0.975,0.725,0.2125,8.23552975,3.572037,1.88524175,2.1829115,7.0
3320,I,0.9,0.6875,0.225,6.30776375,2.6365035,1.2757275,1.871067,6.0
3321,I,0.6875,0.5125,0.1625,2.721552,1.14815475,0.7654365,0.850485,5.0
3322,I,1.125,0.85,0.3375,10.44679075,4.32329875,2.33883375,3.5436875,7.0
3323,M,1.6125,1.2625,0.4375,36.85435,16.329312,8.49067525,9.4970825,9.0
3324,M,1.525,1.2,0.4,33.46658475,14.628342,7.01650125,9.3269855,9.0
3325,I,0.9,0.6625,0.25,7.98038425,3.572037,1.7293195,2.33883375,7.0
3326,M,1.175,0.8875,0.3,12.7856245,5.6699,2.93417325,4.32329875,7.0
3327,M,1.625,1.2875,0.4375,35.50774875,18.8524175,7.38504475,9.355335,10.0
3328,I,1.5375,1.1875,0.4375,31.18445,13.60776,7.10154975,9.922325,10.0
3329,M,1.625,1.3,0.4125,39.405805,17.70426275,9.62465525,10.489315,10.0
3330,M,1.4,1.05,0.325,20.0430965,9.85145125,4.26659975,5.953395,9.0
3331,M,1.5375,1.1875,0.4,31.53881875,13.56523575,7.10154975,8.901743,11.0
3332,I,1.5125,1.125,0.375,24.097075,8.0796075,4.77689075,8.0796075,11.0
3333,I,0.4375,0.3125,0.125,0.66621325,0.226796,0.09922325,0.226796,3.0
3334,M,1.5625,1.25,0.45,32.034935,15.52135125,6.42116175,8.7599955,10.0
3335,M,1.3875,1.0875,0.3625,24.84833675,10.81533425,5.68407475,5.386405,10.0
3336,I,1.125,0.8375,0.3,12.43125575,5.71242425,3.04757125,4.3374735,9.0
3337,F,1.175,0.9375,0.375,18.4555245,5.71242425,3.9405805,6.23689,13.0
3338,F,1.15,0.8625,0.275,12.68640125,5.8683465,3.1467945,3.572037,9.0
3339,M,1.425,1.1125,0.375,33.112216,14.92601175,6.973977,8.80251975,9.0
3340,F,1.525,1.125,0.4125,30.03629525,12.3887315,6.30776375,9.07184,10.0
3341,I,0.9125,0.675,0.225,6.577084,3.78465825,1.43164975,1.927766,6.0
3342,M,1.6125,1.25,0.425,37.77570875,14.4865945,8.0229085,11.623295,18.0
3343,M,1.475,1.125,0.4,30.674159,11.679994,5.216308,10.3475675,20.0
3344,M,1.6375,1.275,0.4375,36.78347625,16.68368075,7.98038425,10.3475675,10.0
3345,M,1.1875,0.8875,0.3125,13.33843975,5.2446575,2.4664065,3.81300775,7.0
3346,M,1.2875,0.975,0.3,16.2442635,7.44174375,3.7137845,4.252425,8.0
3347,I,0.7375,0.55,0.175,4.309124,1.88524175,0.8788345,1.2757275,5.0
3348,F,1.4875,1.125,0.4625,36.003865,15.03940975,9.7238785,11.623295,23.0
3349,M,1.3125,1.0625,0.3375,23.09066775,11.43902325,4.932813,6.3786375,9.0
3350,M,1.375,1.0625,0.3375,22.80717275,9.62465525,5.68407475,6.0951425,9.0
3351,I,1.4125,1.075,0.325,22.6512505,12.0485375,4.479221,5.6699,9.0
3352,F,1.4375,1.125,0.35,31.581343,14.04717725,6.973977,8.50485,10.0
3353,I,1.4875,1.2375,0.4,35.50774875,14.401546,6.90310325,9.355335,9.0
3354,I,0.875,0.6375,0.1875,4.80524025,2.14038725,1.06310625,1.927766,6.0
3355,I,0.7,0.525,0.2375,2.721552,1.020582,0.52446575,0.850485,5.0
3356,M,1.1375,0.9125,0.275,12.06271225,4.80524025,2.42388225,3.5436875,6.0
3357,F,0.925,0.6875,0.2625,6.350288,2.31048425,1.48834875,2.4097075,13.0
3358,I,1.3125,1.1,0.4125,26.23746225,11.1413535,6.010094,7.37087,9.0
3359,I,1.2,0.9375,0.3125,15.2236815,6.577084,3.7137845,4.252425,8.0
3360,F,1.45,1.1125,0.3875,24.1821235,11.49572225,4.5642695,7.654365,8.0
3361,F,1.725,1.3125,0.425,38.90968875,14.84096325,9.22776225,11.90679,20.0
3362,I,0.9,0.675,0.175,5.5281525,2.11203775,1.09145575,1.8427175,6.0
3363,I,1.0,0.8125,0.275,8.9300925,3.92640575,1.70097,2.83495,8.0
3364,I,1.0375,0.8125,0.25,9.19941275,3.8838815,1.94194075,2.6932025,7.0
3365,I,1.2875,0.95,0.325,19.06503875,9.808927,4.252425,5.953395,8.0
3366,F,1.3875,1.0125,0.4625,28.91649,11.679994,7.144074,7.087375,9.0
3367,M,1.6625,1.2875,0.4375,38.90968875,17.78931125,8.71747125,10.3475675,13.0
3368,M,1.425,1.1125,0.3125,24.4656185,10.6310625,4.706017,6.0951425,9.0
3369,M,0.9625,0.7,0.2125,7.72523875,3.2601925,1.7293195,2.4097075,7.0
3370,M,1.2,0.95,0.3,14.81261375,5.9817445,3.27436725,4.53592,9.0
3371,I,1.0375,0.7875,0.275,10.21999475,3.92640575,2.45223175,3.40194,9.0
3372,I,1.45,1.1125,0.3875,22.92057075,10.659412,4.89028875,5.51397775,9.0
3373,F,1.6625,1.25,0.5,42.410852,16.5277585,8.3631025,13.4660125,12.0
3374,M,1.3,1.0,0.35,17.02387475,6.5487345,4.252425,5.5281525,18.0
3375,M,1.575,1.2625,0.5,33.46658475,12.0485375,6.123492,11.90679,17.0
3376,F,1.5125,1.1875,0.4125,30.03629525,12.28950825,6.30776375,8.221355,11.0
3377,M,1.5625,1.2125,0.4375,34.8415355,16.57028275,6.010094,9.8939755,10.0
3378,M,1.6125,1.2625,0.4875,39.7743485,16.4143605,7.9095105,11.509897,15.0
3379,F,1.6125,1.3125,0.4875,35.6920205,12.8423235,6.010094,12.757275,19.0
3380,M,1.2,0.95,0.325,14.18892475,5.76912325,3.6570855,4.6776675,11.0
3381,M,1.6375,1.275,0.5,45.245802,17.1514475,9.015141,13.60776,13.0
3382,M,1.425,1.1125,0.375,24.7491135,10.9145575,5.6699,6.520385,9.0
3383,I,0.725,0.525,0.1875,2.721552,1.0489315,0.66621325,0.850485,5.0
3384,I,1.35,1.0625,0.35,20.184844,9.87980075,4.9044635,6.3786375,9.0
3385,I,0.9,0.675,0.2,5.5848515,2.721552,1.3891255,1.70097,6.0
3386,M,1.3375,1.0625,0.35,20.28406725,7.52679225,4.8477645,6.3786375,9.0
3387,I,1.025,0.8125,0.25,10.02154825,4.60679375,1.814368,2.9766975,9.0
3388,I,1.3375,1.0875,0.3125,22.4244545,10.77281,4.706017,6.0951425,9.0
3389,M,1.325,1.1,0.325,22.38193025,8.97261675,4.86193925,6.80388,12.0
3390,F,1.5625,1.2,0.4625,29.27085875,14.72756525,6.2652395,8.3631025,9.0
3391,I,1.1,0.875,0.2375,14.67086625,7.9095105,2.70737725,3.30271675,6.0
3392,I,0.7125,0.525,0.175,4.20990075,2.211261,0.8788345,0.9922325,5.0
3393,I,1.2,0.9625,0.3125,17.70426275,6.577084,4.025629,5.386405,10.0
3394,F,1.5125,1.1625,0.375,28.803092,11.623295,6.6054335,7.2291225,11.0
3395,I,1.2125,0.975,0.3375,18.01610725,7.38504475,4.01145425,5.953395,8.0
3396,I,1.25,1.0,0.35,19.57532975,9.87980075,3.95475525,5.6699,8.0
3397,F,1.375,1.0375,0.3625,27.71163625,7.9095105,6.30776375,7.824462,15.0
3398,M,1.375,1.025,0.3125,20.41164,9.87980075,4.60679375,5.20213325,8.0
3399,I,1.1875,0.9125,0.25,14.628342,7.3992195,2.9199985,3.4869885,6.0
3400,F,1.725,1.2875,0.475,43.6298805,18.38465075,8.3064035,13.4660125,12.0
3401,F,1.3125,1.0625,0.35,27.1304715,9.62465525,6.30776375,8.3631025,12.0
3402,M,1.5625,1.225,0.375,31.56716825,11.97766375,8.29222875,9.07184,13.0
3403,I,0.875,0.65,0.225,5.10291,2.14038725,1.51669825,1.984465,8.0
3404,F,1.3,1.025,0.375,20.41164,8.788345,4.01145425,6.9456275,11.0
3405,I,1.2375,0.95,0.275,17.7184375,9.25611175,3.04757125,4.53592,8.0
3406,F,1.4625,1.075,0.3875,24.94756,11.4248485,4.9044635,6.23689,8.0
3407,M,1.525,1.2,0.4125,32.545226,14.5999925,7.540967,8.50485,9.0
3408,I,0.925,0.6875,0.2,7.72523875,3.118445,1.2757275,1.8427175,6.0
3409,F,1.7375,1.325,0.4375,44.55123925,18.92329125,11.07047975,12.47378,11.0
3410,M,1.5125,1.2,0.4375,36.4291075,17.7751365,8.901743,8.6465975,10.0
3411,F,1.3625,1.075,0.3375,25.287754,12.8423235,5.42892925,6.23689,9.0
3412,M,1.45,1.15,0.4125,24.90503575,10.9712565,5.48562825,8.3631025,9.0
3413,F,1.325,1.0625,0.375,22.15513425,8.40562675,6.30776375,7.83863675,10.0
3414,M,1.5,1.1875,0.3875,25.344453,11.566596,5.556502,7.654365,11.0
3415,F,1.2,0.9375,0.3,14.8267885,5.273007,3.86970675,4.3941725,14.0
3416,I,1.0375,0.8125,0.2875,10.44679075,5.499803,2.22543575,2.96252275,8.0
3417,F,1.55,1.2625,0.4125,32.16250775,13.947954,8.164656,8.9300925,12.0
3418,F,1.5625,1.25,0.3875,31.70891575,16.896302,7.55514175,8.3631025,8.0
3419,M,1.375,1.075,0.375,23.60095875,11.4248485,4.819415,6.80388,9.0
3420,M,1.8,1.4625,0.4625,50.53298375,26.251637,10.2908685,12.40290625,11.0
3421,I,0.6625,0.525,0.15,2.7499015,1.0489315,0.623689,0.850485,6.0
3422,M,1.5,1.1625,0.3625,29.24250925,13.53688625,7.27164675,7.767763,10.0
3423,I,1.5625,1.2375,0.375,34.6147395,14.7133905,8.77417025,11.056305,13.0
3424,I,1.425,1.05,0.35,23.94115275,10.47514025,5.54232725,6.747181,9.0
3425,I,1.1,0.8625,0.2875,10.375917,4.32329875,2.097863,3.40194,9.0
3426,I,1.1125,0.85,0.2875,13.08329425,6.6621325,2.6365035,3.2034935,7.0
3427,I,1.075,0.85,0.275,10.9712565,4.74854125,2.84912475,2.9766975,7.0
3428,F,1.5125,1.1875,0.4,28.76056775,11.18387775,7.41339425,8.50485,9.0
3429,F,1.225,0.975,0.3375,17.90270925,6.78970525,3.6570855,5.0178615,8.0
3430,M,1.3125,1.0125,0.375,19.06503875,10.375917,4.932813,5.5281525,10.0
3431,M,1.4,1.025,0.325,21.5172705,8.7032965,5.216308,5.953395,9.0
3432,M,1.5375,1.1375,0.425,30.94347925,12.74310025,6.50621025,8.9300925,13.0
3433,F,1.7625,1.3875,0.5,49.2430815,21.64484325,9.241937,16.8679525,11.0
3434,I,1.025,0.7875,0.25,8.40562675,3.515338,1.7293195,2.6932025,7.0
3435,F,1.3625,1.0,0.3625,21.61649375,8.15048125,4.57844425,7.087375,12.0
3436,I,1.3,1.05,0.325,18.71067,8.50485,4.082328,5.8116475,10.0
3437,F,1.45,1.075,0.3875,30.4190135,10.7444605,6.64795775,10.77281,13.0
3438,I,1.3125,1.0125,0.325,17.860185,8.6465975,3.67126025,5.2446575,9.0
3439,I,1.425,1.125,0.3375,22.452804,11.5949455,4.49339575,6.23689,9.0
3440,I,1.0875,0.8125,0.275,9.4970825,3.912231,1.8427175,2.6932025,12.0
3441,I,1.3125,1.0,0.3,19.74542675,9.865626,4.0539785,4.40834725,9.0
3442,F,1.5625,1.2125,0.4,30.900955,13.99047825,7.15824875,9.922325,12.0
3443,M,1.4,1.1,0.425,26.308336,11.35397475,5.499803,7.37087,8.0
3444,I,0.975,0.75,0.225,8.66077225,4.0539785,1.4458245,2.2396105,7.0
3445,F,1.4875,1.2125,0.3875,33.5941575,12.0485375,6.30776375,11.90679,20.0
3446,I,1.3875,1.0875,0.3375,23.7285315,11.01378075,4.01145425,5.93922025,9.0
3447,M,1.125,0.875,0.2625,12.99824575,5.443104,2.96252275,3.685435,8.0
3448,M,1.575,1.175,0.3875,31.70891575,14.67086625,7.32834575,8.77417025,10.0
3449,I,0.8375,0.6375,0.2375,5.2446575,2.26796,1.14815475,1.2757275,6.0
3450,I,1.15,0.9375,0.275,16.25843825,7.994559,3.04757125,4.53592,8.0
3451,M,1.5875,1.3625,0.4875,43.1762885,15.06775925,8.164656,11.623295,20.0
3452,F,1.25,0.95,0.4,17.53416575,7.7394135,3.58621175,6.23689,15.0
3453,I,0.7375,0.5375,0.2,3.7137845,1.417475,0.75126175,1.13398,9.0
3454,F,1.1375,0.8875,0.2875,12.7856245,4.0539785,2.608154,3.5436875,10.0
3455,M,1.275,0.9375,0.325,16.85377775,6.520385,4.195726,6.23689,11.0
3456,M,1.5875,1.2375,0.475,37.23706825,20.6100865,7.0023265,9.4970825,11.0
3457,F,1.8,1.4,0.4375,44.22522,18.86659225,8.7599955,14.16057525,11.0
3458,I,0.675,0.5,0.15,2.381358,0.8788345,0.60951425,0.850485,5.0
3459,I,0.7375,0.55,0.1625,3.72795925,1.474174,0.83631025,0.9922325,5.0
3460,I,1.525,1.2,0.4125,32.92794425,14.04717725,7.200773,8.6465975,13.0
3461,F,1.2,0.925,0.35,16.85377775,6.633783,4.09650275,4.9611625,9.0
3462,I,1.075,0.8,0.2625,10.829509,4.40834725,2.097863,2.9766975,7.0
3463,F,1.5,1.175,0.4625,30.0221205,11.396499,5.42892925,9.07184,14.0
3464,I,1.1,0.8625,0.2875,12.94154675,5.40057975,3.18931875,3.96893,7.0
3465,F,1.575,1.2,0.4125,34.8415355,13.53688625,9.525432,9.4970825,12.0
3466,I,0.725,0.5625,0.1875,3.7137845,1.417475,0.75126175,1.13398,7.0
3467,M,1.5125,1.2125,0.4,30.674159,12.3887315,5.79747275,10.77281,10.0
3468,F,1.475,1.1375,0.4,35.5786225,17.08057375,7.6260155,8.3631025,9.0
3469,F,1.675,1.3125,0.4625,44.338618,17.349894,8.23552975,11.3398,13.0
3470,M,1.5625,1.2125,0.4125,35.25260325,16.68368075,7.66853975,8.9300925,9.0
3471,F,1.7,1.2875,0.45,43.64405525,16.48523425,10.716111,11.1980525,15.0
3472,F,1.4625,1.0875,0.425,27.895908,11.453198,5.10291,9.4970825,18.0
3473,F,1.45,1.125,0.375,23.51591025,9.31281075,4.989512,6.9456275,12.0
3474,M,1.6,1.25,0.375,36.47163175,16.82542825,7.81028725,8.77417025,8.0
3475,F,1.075,0.85,0.3,10.41844125,4.3374735,1.984465,3.5436875,7.0
3476,M,1.5625,1.2,0.4375,34.8415355,15.52135125,8.29222875,9.07184,8.0
3477,F,1.575,1.2125,0.4125,31.79396425,14.401546,6.08096775,8.788345,10.0
3478,M,1.3125,1.0,0.3625,25.92561775,10.90038275,5.42892925,7.087375,8.0
3479,M,1.7125,1.3375,0.4875,49.32813,18.427175,11.94931425,17.57669,16.0
3480,I,1.2375,0.95,0.3125,16.2442635,7.881161,3.75630875,4.6776675,8.0
3481,I,0.7125,0.525,0.175,3.30271675,1.5025235,0.52446575,0.9922325,5.0
3482,I,1.0875,0.8125,0.2625,11.92096475,4.57844425,1.85689225,3.685435,7.0
3483,M,0.975,0.7375,0.25,6.30776375,2.36718325,1.6726205,2.1262125,8.0
3484,M,1.4375,1.15,0.375,28.19357775,14.81261375,5.40057975,6.747181,10.0
3485,M,1.7125,1.3625,0.6,43.70075425,19.29183475,7.9662095,13.0691195,15.0
3486,M,1.3,1.0,0.325,17.84601025,9.99319875,3.7137845,5.00368675,8.0
3487,M,1.375,1.075,0.3875,22.77882325,10.77281,4.77689075,5.25883225,9.0
